Interval,Jan 1,Jan 2,Jan 3,Jan 4,Jan 5,Jan 6,Jan 7,Jan 8,Jan 9,Jan 10,Jan 11,Jan 12,Jan 13,Jan 14,Jan 15,Jan 16,Jan 17,Jan 18,Jan 19,Jan 20,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30
1,10,10,9,10,10,9,1,1,2,6,8,8,10,8,9,2,3,7,1,2,7,8,4,10,2,10,3,9,1,3
2,6,2,9,6,2,7,3,2,1,9,2,2,2,9,5,8,9,1,7,8,3,7,10,9,7,7,3,4,9,1
3,6,8,9,8,2,4,4,1,6,2,10,8,2,4,1,3,7,7,1,5,10,4,10,4,2,5,9,4,8,4
4,1,5,5,4,2,9,1,7,5,10,7,7,3,6,9,7,4,1,3,2,5,10,3,7,2,6,10,6,8,6
5,4,1,7,3,2,9,7,10,1,2,5,1,7,1,7,6,5,2,5,3,6,3,6,4,3,2,8,6,8,8
6,10,9,2,1,4,2,1,3,10,4,7,10,1,9,6,6,6,1,10,7,2,9,6,8,1,1,6,8,1,4
7,4,3,3,4,8,6,8,6,3,9,8,8,2,1,7,1,1,3,2,7,4,10,9,1,4,8,6,1,7,9
8,4,1,4,2,6,8,7,3,5,4,4,2,2,8,4,8,4,2,2,3,6,9,3,1,6,6,9,6,6,1
9,8,1,9,6,6,3,7,5,7,1,3,2,10,9,1,6,1,3,6,10,10,4,1,9,4,3,7,10,5,2
10,9,8,3,2,8,6,3,7,3,2,6,8,3,8,5,7,4,3,6,4,9,1,2,3,7,6,1,1,9,9
11,2,4,9,5,7,9,2,9,4,1,2,7,7,1,7,6,6,3,5,9,6,6,6,1,4,9,8,7,5,1
12,5,8,2,5,6,10,6,3,10,5,4,4,8,6,5,7,10,1,9,7,4,10,1,3,4,6,7,10,1,10
13,3,3,3,4,9,10,10,9,8,8,10,10,10,2,10,6,5,4,9,1,8,2,4,2,3,9,7,10,5,3
14,4,6,6,4,1,10,10,1,8,9,10,2,3,4,4,6,4,5,5,1,6,2,2,6,1,3,6,6,9,6
15,4,7,8,8,3,2,3,10,9,1,1,1,1,9,8,3,9,8,1,7,3,1,6,2,8,1,10,1,1,8
16,1,7,4,2,8,4,3,7,8,10,6,4,10,2,7,7,9,6,8,2,10,3,3,7,2,7,8,7,3,7
17,5,7,7,7,6,8,8,10,10,3,6,8,7,8,2,6,5,9,9,4,1,3,5,7,7,3,10,5,6,2
18,4,10,6,1,2,7,2,6,2,1,10,3,2,3,8,4,6,5,2,5,2,2,1,4,9,1,9,7,3,1
19,2,8,9,7,2,7,6,4,10,2,2,6,6,6,8,1,8,3,5,10,4,7,3,3,8,7,9,4,2,8
20,3,9,10,2,10,4,5,7,1,10,3,4,1,3,2,10,1,2,2,3,6,3,5,5,10,3,1,1,9,10
21,5,2,8,10,9,5,2,6,2,3,6,7,9,1,7,7,10,10,10,7,4,6,7,5,1,3,2,2,10,1
22,4,9,6,9,6,2,5,2,3,4,4,4,8,5,8,8,4,3,5,8,3,1,2,1,10,3,3,10,3,3
23,9,4,7,7,2,8,8,6,5,3,6,6,7,2,4,6,3,10,3,7,3,4,4,8,10,3,6,6,9,6
24,2,9,1,4,5,4,3,3,7,10,1,5,2,10,7,5,8,1,10,9,1,10,2,8,6,8,4,1,8,6
